Change Component Designator: OldDesignator=C21 NewDesignator=C21、
Added Pin To Net: NetName=GND Pin=C21、-1
Added Pin To Net: NetName=VCC5V Pin=C21、-2
Added Pin To Net: NetName=GND Pin=C22-1
Added Pin To Net: NetName=VCC5V Pin=C22-2
Added Pin To Net: NetName=VCCOP Pin=C23-1
Added Pin To Net: NetName=GND Pin=C23-2
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=VCCOP Pin=C24-2
Added Pin To Net: NetName=A8 Pin=C25-1
Added Pin To Net: NetName=GND Pin=C25-2
Added Pin To Net: NetName=NetD1_A Pin=D1-A
Added Pin To Net: NetName=NetD1_K Pin=D1-K
Added Pin To Net: NetName=VCCBAT Pin=D2-A
Added Pin To Net: NetName=NetC9_1 Pin=D2-K
Added Pin To Net: NetName=NetDCIN_1 Pin=DCIN-1
Added Pin To Net: NetName=GND Pin=DCIN-2
Added Pin To Net: NetName=VCCBAT Pin=DCOUT1-1
Added Pin To Net: NetName=GND Pin=DCOUT1-2
Added Pin To Net: NetName=VCCBAT Pin=DCOUT2-1
Added Pin To Net: NetName=GND Pin=DCOUT2-2
Added Pin To Net: NetName=NetC4_2 Pin=L1-1
Added Pin To Net: NetName=VCCSteer Pin=L1-2
Added Pin To Net: NetName=NetLED3v3_A Pin=LED3v3-A
Added Pin To Net: NetName=GND Pin=LED3v3-C
Added Pin To Net: NetName=NetLED5V_A Pin=LED5V-A
Added Pin To Net: NetName=GND Pin=LED5V-C
Added Pin To Net: NetName=NetLEDCAM_A Pin=LEDCAM-A
Added Pin To Net: NetName=GND Pin=LEDCAM-C
Added Pin To Net: NetName=NetLEDOP_A Pin=LEDOP-A
Added Pin To Net: NetName=GND Pin=LEDOP-C
Added Pin To Net: NetName=NetLEDSteer_A Pin=LEDSteer-A
Added Pin To Net: NetName=GND Pin=LEDSteer-C
Added Pin To Net: NetName=NetD1_K Pin=ON/OFF-1
Added Pin To Net: NetName=NetON/OFF_2 Pin=ON/OFF-2
Added Pin To Net: NetName=NetD1_A Pin=ON/OFF-3
Added Pin To Net: NetName=NetP1_1 Pin=P1-1
Added Pin To Net: NetName=NetP1_2 Pin=P1-2
Added Pin To Net: NetName=GND Pin=P1-3
Added Pin To Net: NetName=GND Pin=P1-4
Added Pin To Net: NetName=NetP1_5 Pin=P1-5
Added Pin To Net: NetName=NetP1_6 Pin=P1-6
Added Pin To Net: NetName=NetP2_1 Pin=P2-1
Added Pin To Net: NetName=NetP2_2 Pin=P2-2
Added Pin To Net: NetName=GND Pin=P2-3
Added Pin To Net: NetName=GND Pin=P2-4
Added Pin To Net: NetName=NetP2_5 Pin=P2-5
Added Pin To Net: NetName=NetP2_6 Pin=P2-6
Added Pin To Net: NetName=11.9 Pin=P3-1
Added Pin To Net: NetName=GND Pin=P3-2
Added Pin To Net: NetName=11.10 Pin=P3-3
Added Pin To Net: NetName=VCC3V3 Pin=P3-4
Added Pin To Net: NetName=11.11 Pin=P3-5
Added Pin To Net: NetName=15.3 Pin=P3-6
Added Pin To Net: NetName=11.12 Pin=P3-7
Added Pin To Net: NetName=15.5 Pin=P3-8
Added Pin To Net: NetName=13.0 Pin=P3-9
Added Pin To Net: NetName=15.1 Pin=P3-10
Added Pin To Net: NetName=13.1 Pin=P3-11
Added Pin To Net: NetName=15.0 Pin=P3-12
Added Pin To Net: NetName=13.2 Pin=P3-13
Added Pin To Net: NetName=15.2 Pin=P3-14
Added Pin To Net: NetName=13.3 Pin=P3-15
Added Pin To Net: NetName=15.4 Pin=P3-16
Added Pin To Net: NetName=VCC3V3 Pin=P4-1
Added Pin To Net: NetName=GND Pin=P4-2
Added Pin To Net: NetName=20.11 Pin=P4-3
Added Pin To Net: NetName=20.14 Pin=P4-4
Added Pin To Net: NetName=20.12 Pin=P4-5
Added Pin To Net: NetName=20.13 Pin=P4-6
Added Pin To Net: NetName=00.0 Pin=P5-1
Added Pin To Net: NetName=02.1 Pin=P5-2
Added Pin To Net: NetName=00.1 Pin=P5-3
Added Pin To Net: NetName=GND Pin=P5-4
Added Pin To Net: NetName=00.2 Pin=P5-5
Added Pin To Net: NetName=02.3 Pin=P5-6
Added Pin To Net: NetName=00.3 Pin=P5-7
Added Pin To Net: NetName=02.2 Pin=P5-8
Added Pin To Net: NetName=00.4 Pin=P5-9
Added Pin To Net: NetName=00.5 Pin=P5-11
Added Pin To Net: NetName=02.0 Pin=P5-12
Added Pin To Net: NetName=00.6 Pin=P5-13
Added Pin To Net: NetName=GND Pin=P5-14
Added Pin To Net: NetName=00.7 Pin=P5-15
Added Pin To Net: NetName=VCCCAM Pin=P5-16
Added Pin To Net: NetName=GND Pin=P6-1
Added Pin To Net: NetName=VCC3V3 Pin=P6-2
Added Pin To Net: NetName=33.7 Pin=P6-3
Added Pin To Net: NetName=33.6 Pin=P6-4
Added Pin To Net: NetName=GND Pin=P7-1
Added Pin To Net: NetName=VCC3V3 Pin=P7-2
Added Pin To Net: NetName=10.3 Pin=P7-3
Added Pin To Net: NetName=10.1 Pin=P7-4
Added Pin To Net: NetName=GND Pin=P8-1
Added Pin To Net: NetName=VCC3V3 Pin=P8-2
Added Pin To Net: NetName=02.8 Pin=P8-3
Added Pin To Net: NetName=00.9 Pin=P8-4
Added Pin To Net: NetName=GND Pin=P9-1
Added Pin To Net: NetName=VCC3V3 Pin=P9-2
Added Pin To Net: NetName=20.3 Pin=P9-3
Added Pin To Net: NetName=20.0 Pin=P9-4
Added Pin To Net: NetName=GND Pin=P10-1
Added Pin To Net: NetName=VCC3V3 Pin=P10-2
Added Pin To Net: NetName=GND Pin=P10-3
Added Pin To Net: NetName=VCC3V3 Pin=P10-4
Added Pin To Net: NetName=GND Pin=P10-5
Added Pin To Net: NetName=VCC3V3 Pin=P10-6
Added Pin To Net: NetName=GND Pin=P10-7
Added Pin To Net: NetName=VCC3V3 Pin=P10-8
Added Pin To Net: NetName=A21 Pin=P10-9
Added Pin To Net: NetName=A20 Pin=P10-10
Added Pin To Net: NetName=A17 Pin=P10-11
Added Pin To Net: NetName=A16 Pin=P10-12
Added Pin To Net: NetName=A13 Pin=P10-13
Added Pin To Net: NetName=A12 Pin=P10-14
Added Pin To Net: NetName=A11 Pin=P10-15
Added Pin To Net: NetName=A10 Pin=P10-16
Added Pin To Net: NetName=NetP11_1 Pin=P11-1
Added Pin To Net: NetName=NetP11_2 Pin=P11-2
Added Pin To Net: NetName=GND Pin=P11-3
Added Pin To Net: NetName=GND Pin=P11-4
Added Pin To Net: NetName=NetP11_5 Pin=P11-5
Added Pin To Net: NetName=NetP11_6 Pin=P11-6
Added Pin To Net: NetName=NetP12_1 Pin=P12-1
Added Pin To Net: NetName=NetP12_2 Pin=P12-2
Added Pin To Net: NetName=GND Pin=P12-3
Added Pin To Net: NetName=GND Pin=P12-4
Added Pin To Net: NetName=NetP12_5 Pin=P12-5
Added Pin To Net: NetName=NetP12_6 Pin=P12-6
Added Pin To Net: NetName=NetP13_1 Pin=P13-1
Added Pin To Net: NetName=GND Pin=P13-2
Added Pin To Net: NetName=NetP13_3 Pin=P13-3
Added Pin To Net: NetName=NetP13_4 Pin=P13-4
Added Pin To Net: NetName=GND Pin=P13-5
Added Pin To Net: NetName=NetP13_6 Pin=P13-6
Added Pin To Net: NetName=NetP14_1 Pin=P14-1
Added Pin To Net: NetName=GND Pin=P14-2
Added Pin To Net: NetName=NetP14_3 Pin=P14-3
Added Pin To Net: NetName=NetP14_4 Pin=P14-4
Added Pin To Net: NetName=GND Pin=P14-5
Added Pin To Net: NetName=NetP14_6 Pin=P14-6
Added Pin To Net: NetName=10.5 Pin=P15-1
Added Pin To Net: NetName=10.6 Pin=P15-3
Added Pin To Net: NetName=10.2 Pin=P15-4
Added Pin To Net: NetName=GND Pin=P15-5
Added Pin To Net: NetName=GND Pin=P15-6
Added Pin To Net: NetName=VCC Pin=P15-7
Added Pin To Net: NetName=VCC5V Pin=P16-1
Added Pin To Net: NetName=GND Pin=P16-2
Added Pin To Net: NetName=14.1 Pin=P16-3
Added Pin To Net: NetName=14.0 Pin=P16-4
Added Pin To Net: NetName=32.4 Pin=P17-1
Added Pin To Net: NetName=VCC5V Pin=P17-2
Added Pin To Net: NetName=GND Pin=P17-3
Added Pin To Net: NetName=NetP18_1 Pin=P18-1
Added Pin To Net: NetName=VCCSteer Pin=P18-2
Added Pin To Net: NetName=GND Pin=P18-3
Added Pin To Net: NetName=VCCBAT Pin=Q1-1
Added Pin To Net: NetName=NetON/OFF_2 Pin=Q1-2
Added Pin To Net: NetName=NetDCIN_1 Pin=Q1-3
Added Pin To Net: NetName=NetQ2_1 Pin=Q2-1
Added Pin To Net: NetName=GND Pin=Q2-2
Added Pin To Net: NetName=NetB1_2 Pin=Q2-3
Added Pin To Net: NetName=NetDCIN_1 Pin=R1-1
Added Pin To Net: NetName=NetD1_K Pin=R1-2
Added Pin To Net: NetName=GND Pin=R2-1
Added Pin To Net: NetName=NetD1_A Pin=R2-2
Added Pin To Net: NetName=GND Pin=R3-1
Added Pin To Net: NetName=NetR3_2 Pin=R3-2
Added Pin To Net: NetName=NetR4_1 Pin=R4-1
Added Pin To Net: NetName=NetC7_2 Pin=R4-2
Added Pin To Net: NetName=NetR5_1 Pin=R5-1
Added Pin To Net: NetName=VCCSteer Pin=R5-2
Added Pin To Net: NetName=NetR5_1 Pin=R6-1
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=NetR5_1 Pin=R6-ADJ
Added Pin To Net: NetName=GND Pin=R7-1
Added Pin To Net: NetName=NetR6_2 Pin=R7-2
Added Pin To Net: NetName=NetLEDSteer_A Pin=R8-1
Added Pin To Net: NetName=VCCSteer Pin=R8-2
Added Pin To Net: NetName=33.9 Pin=R9-1
Added Pin To Net: NetName=NetP18_1 Pin=R9-2
Added Pin To Net: NetName=VCC5V Pin=R10-1
Added Pin To Net: NetName=NetLED5V_A Pin=R10-2
Added Pin To Net: NetName=VCC3V3 Pin=R11-1
Added Pin To Net: NetName=NetLED3v3_A Pin=R11-2
Added Pin To Net: NetName=VCCCAM Pin=R12-1
Added Pin To Net: NetName=NetLEDCAM_A Pin=R12-2
Added Pin To Net: NetName=VCCOP Pin=R13-1
Added Pin To Net: NetName=NetLEDOP_A Pin=R13-2
Added Pin To Net: NetName=VCC3V3 Pin=R14-1
Added Pin To Net: NetName=NetR14_2 Pin=R14-2
Added Pin To Net: NetName=VCC3V3 Pin=R15-1
Added Pin To Net: NetName=NetR15_2 Pin=R15-2
Added Pin To Net: NetName=VCC3V3 Pin=R16-1
Added Pin To Net: NetName=NetR16_2 Pin=R16-2
Added Pin To Net: NetName=VCC3V3 Pin=R17-1
Added Pin To Net: NetName=NetR17_2 Pin=R17-2
Added Pin To Net: NetName=VCC3V3 Pin=R18-1
Added Pin To Net: NetName=NetR18_2 Pin=R18-2
Added Pin To Net: NetName=VCC3V3 Pin=R19-1
Added Pin To Net: NetName=NetR19_2 Pin=R19-2
Added Pin To Net: NetName=VCCBAT Pin=R20-1
Added Pin To Net: NetName=A8 Pin=R20-2
Added Pin To Net: NetName=A8 Pin=R21-1
Added Pin To Net: NetName=GND Pin=R21-2
Added Pin To Net: NetName=VCC3V3 Pin=R22-1
Added Pin To Net: NetName=NetB1_1 Pin=R22-2
Added Pin To Net: NetName=33.10 Pin=R23-1
Added Pin To Net: NetName=NetQ2_1 Pin=R23-2
Added Pin To Net: NetName=33.10 Pin=R24-1
Added Pin To Net: NetName=GND Pin=R24-2
Added Pin To Net: NetName=21.2 Pin=R25-1
Added Pin To Net: NetName=NetP11_5 Pin=R25-2
Added Pin To Net: NetName=NetP11_1 Pin=R26-1
Added Pin To Net: NetName=21.3 Pin=R26-2
Added Pin To Net: NetName=21.4 Pin=R27-1
Added Pin To Net: NetName=NetP11_6 Pin=R27-2
Added Pin To Net: NetName=NetP11_2 Pin=R28-1
Added Pin To Net: NetName=21.5 Pin=R28-2
Added Pin To Net: NetName=02.4 Pin=R29-1
Added Pin To Net: NetName=NetP12_5 Pin=R29-2
Added Pin To Net: NetName=NetP12_1 Pin=R30-1
Added Pin To Net: NetName=02.5 Pin=R30-2
Added Pin To Net: NetName=02.6 Pin=R31-1
Added Pin To Net: NetName=NetP12_6 Pin=R31-2
Added Pin To Net: NetName=NetP12_2 Pin=R32-1
Added Pin To Net: NetName=02.7 Pin=R32-2
Added Pin To Net: NetName=NetR18_2 Pin=R33-1
Added Pin To Net: NetName=33.12 Pin=R33-2
Added Pin To Net: NetName=NetR19_2 Pin=R34-1
Added Pin To Net: NetName=33.13 Pin=R34-2
Added Pin To Net: NetName=NetR14_2 Pin=R35-1
Added Pin To Net: NetName=22.0 Pin=R35-2
Added Pin To Net: NetName=NetR15_2 Pin=R36-1
Added Pin To Net: NetName=22.1 Pin=R36-2
Added Pin To Net: NetName=NetR16_2 Pin=R37-1
Added Pin To Net: NetName=22.2 Pin=R37-2
Added Pin To Net: NetName=NetR17_2 Pin=R38-1
Added Pin To Net: NetName=22.3 Pin=R38-2
Added Pin To Net: NetName=33.6 Pin=R39-1
Added Pin To Net: NetName=NetP1_5 Pin=R39-2
Added Pin To Net: NetName=NetP1_1 Pin=R40-1
Added Pin To Net: NetName=33.7 Pin=R40-2
Added Pin To Net: NetName=02.4 Pin=R41-1
Added Pin To Net: NetName=NetP1_6 Pin=R41-2
Added Pin To Net: NetName=NetP1_2 Pin=R42-1
Added Pin To Net: NetName=02.5 Pin=R42-2
Added Pin To Net: NetName=10.1 Pin=R43-1
Added Pin To Net: NetName=NetP2_5 Pin=R43-2
Added Pin To Net: NetName=NetP2_1 Pin=R44-1
Added Pin To Net: NetName=10.3 Pin=R44-2
Added Pin To Net: NetName=02.6 Pin=R45-1
Added Pin To Net: NetName=NetP2_6 Pin=R45-2
Added Pin To Net: NetName=NetP2_2 Pin=R46-1
Added Pin To Net: NetName=02.7 Pin=R46-2
Added Pin To Net: NetName=GND Pin=S1-1
Added Pin To Net: NetName=GND Pin=S1-1
Added Pin To Net: NetName=NetR14_2 Pin=S1-2
Added Pin To Net: NetName=NetR14_2 Pin=S1-2
Added Pin To Net: NetName=GND Pin=S2-1
Added Pin To Net: NetName=GND Pin=S2-1
Added Pin To Net: NetName=NetR15_2 Pin=S2-2
Added Pin To Net: NetName=NetR15_2 Pin=S2-2
Added Pin To Net: NetName=GND Pin=S3-1
Added Pin To Net: NetName=GND Pin=S3-1
Added Pin To Net: NetName=NetR16_2 Pin=S3-2
Added Pin To Net: NetName=NetR16_2 Pin=S3-2
Added Pin To Net: NetName=GND Pin=S4-1
Added Pin To Net: NetName=GND Pin=S4-1
Added Pin To Net: NetName=NetR17_2 Pin=S4-2
Added Pin To Net: NetName=NetR17_2 Pin=S4-2
Added Pin To Net: NetName=NetR18_2 Pin=S5-1
Added Pin To Net: NetName=NetR19_2 Pin=S5-2
Added Pin To Net: NetName=GND Pin=S5-3
Added Pin To Net: NetName=GND Pin=S5-4
Added Pin To Net: NetName=GND Pin=U1-1
Added Pin To Net: NetName=VCC Pin=U1-2
Added Pin To Net: NetName=GND Pin=U1-3
Added Pin To Net: NetName=VCC Pin=U1-4
Added Pin To Net: NetName=A21 Pin=U1-5
Added Pin To Net: NetName=A20 Pin=U1-6
Added Pin To Net: NetName=A17 Pin=U1-7
Added Pin To Net: NetName=A16 Pin=U1-8
Added Pin To Net: NetName=A13 Pin=U1-9
Added Pin To Net: NetName=A12 Pin=U1-10
Added Pin To Net: NetName=A11 Pin=U1-11
Added Pin To Net: NetName=A10 Pin=U1-12
Added Pin To Net: NetName=A8 Pin=U1-13
Added Pin To Net: NetName=A7 Pin=U1-14
Added Pin To Net: NetName=A6 Pin=U1-15
Added Pin To Net: NetName=A5 Pin=U1-16
Added Pin To Net: NetName=A4 Pin=U1-17
Added Pin To Net: NetName=A3 Pin=U1-18
Added Pin To Net: NetName=A2 Pin=U1-19
Added Pin To Net: NetName=A1 Pin=U1-20
Added Pin To Net: NetName=A0 Pin=U1-21
Added Pin To Net: NetName=33.6 Pin=U1-24
Added Pin To Net: NetName=33.7 Pin=U1-25
Added Pin To Net: NetName=33.9 Pin=U1-27
Added Pin To Net: NetName=33.10 Pin=U1-28
Added Pin To Net: NetName=33.12 Pin=U1-30
Added Pin To Net: NetName=33.13 Pin=U1-31
Added Pin To Net: NetName=32.4 Pin=U1-32
Added Pin To Net: NetName=22.0 Pin=U1-34
Added Pin To Net: NetName=22.1 Pin=U1-35
Added Pin To Net: NetName=22.2 Pin=U1-36
Added Pin To Net: NetName=22.3 Pin=U1-37
Added Pin To Net: NetName=21.2 Pin=U1-38
Added Pin To Net: NetName=21.3 Pin=U1-39
Added Pin To Net: NetName=21.4 Pin=U1-40
Added Pin To Net: NetName=21.5 Pin=U1-41
Added Pin To Net: NetName=20.0 Pin=U1-44
Added Pin To Net: NetName=20.3 Pin=U1-46
Added Pin To Net: NetName=20.11 Pin=U1-54
Added Pin To Net: NetName=20.12 Pin=U1-55
Added Pin To Net: NetName=20.13 Pin=U1-56
Added Pin To Net: NetName=20.14 Pin=U1-57
Added Pin To Net: NetName=15.0 Pin=U1-58
Added Pin To Net: NetName=15.1 Pin=U1-59
Added Pin To Net: NetName=15.2 Pin=U1-60
Added Pin To Net: NetName=15.3 Pin=U1-61
Added Pin To Net: NetName=15.4 Pin=U1-62
Added Pin To Net: NetName=15.5 Pin=U1-63
Added Pin To Net: NetName=14.0 Pin=U1-67
Added Pin To Net: NetName=14.1 Pin=U1-68
Added Pin To Net: NetName=13.0 Pin=U1-74
Added Pin To Net: NetName=13.1 Pin=U1-75
Added Pin To Net: NetName=13.2 Pin=U1-76
Added Pin To Net: NetName=13.3 Pin=U1-77
Added Pin To Net: NetName=11.9 Pin=U1-81
Added Pin To Net: NetName=11.10 Pin=U1-82
Added Pin To Net: NetName=11.11 Pin=U1-83
Added Pin To Net: NetName=11.12 Pin=U1-84
Added Pin To Net: NetName=10.1 Pin=U1-85
Added Pin To Net: NetName=10.2 Pin=U1-86
Added Pin To Net: NetName=10.3 Pin=U1-87
Added Pin To Net: NetName=10.5 Pin=U1-88
Added Pin To Net: NetName=10.6 Pin=U1-89
Added Pin To Net: NetName=02.0 Pin=U1-90
Added Pin To Net: NetName=02.1 Pin=U1-91
Added Pin To Net: NetName=02.2 Pin=U1-92
Added Pin To Net: NetName=02.3 Pin=U1-93
Added Pin To Net: NetName=02.4 Pin=U1-94
Added Pin To Net: NetName=02.5 Pin=U1-95
Added Pin To Net: NetName=02.6 Pin=U1-96
Added Pin To Net: NetName=02.7 Pin=U1-97
Added Pin To Net: NetName=02.8 Pin=U1-98
Added Pin To Net: NetName=00.0 Pin=U1-99
Added Pin To Net: NetName=00.1 Pin=U1-100
Added Pin To Net: NetName=00.2 Pin=U1-101
Added Pin To Net: NetName=00.3 Pin=U1-102
Added Pin To Net: NetName=00.4 Pin=U1-103
Added Pin To Net: NetName=00.5 Pin=U1-104
Added Pin To Net: NetName=00.6 Pin=U1-105
Added Pin To Net: NetName=00.7 Pin=U1-106
Added Pin To Net: NetName=00.9 Pin=U1-108
Added Pin To Net: NetName=GND Pin=U2-0
Added Pin To Net: NetName=NetC4_1 Pin=U2-1
Added Pin To Net: NetName=VCCBAT Pin=U2-2
Added Pin To Net: NetName=VCCBAT Pin=U2-3
Added Pin To Net: NetName=NetR3_2 Pin=U2-4
Added Pin To Net: NetName=NetR6_2 Pin=U2-5
Added Pin To Net: NetName=NetR4_1 Pin=U2-6
Added Pin To Net: NetName=GND Pin=U2-7
Added Pin To Net: NetName=NetC4_2 Pin=U2-8
Added Pin To Net: NetName=NetC9_1 Pin=U3-1
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=VCC5V Pin=U3-3
Added Pin To Net: NetName=VCC5V Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=VCC5V Pin=U4-3
Added Pin To Net: NetName=VCC3V3 Pin=U4-5
Added Pin To Net: NetName=VCC5V Pin=U5-1
Added Pin To Net: NetName=GND Pin=U5-2
Added Pin To Net: NetName=VCC5V Pin=U5-3
Added Pin To Net: NetName=VCCCAM Pin=U5-5
Added Pin To Net: NetName=VCC5V Pin=U6-1
Added Pin To Net: NetName=GND Pin=U6-2
Added Pin To Net: NetName=VCC5V Pin=U6-3
Added Pin To Net: NetName=VCCOP Pin=U6-5
Added Pin To Net: NetName=NetP13_6 Pin=电磁运放模块1-1
Added Pin To Net: NetName=GND Pin=电磁运放模块1-2
Added Pin To Net: NetName=NetP13_4 Pin=电磁运放模块1-3
Added Pin To Net: NetName=NetP13_3 Pin=电磁运放模块1-4
Added Pin To Net: NetName=GND Pin=电磁运放模块1-5
Added Pin To Net: NetName=NetP13_1 Pin=电磁运放模块1-6
Added Pin To Net: NetName=A0 Pin=电磁运放模块1-7
Added Pin To Net: NetName=VCCOP Pin=电磁运放模块1-8
Added Pin To Net: NetName=GND Pin=电磁运放模块1-9
Added Pin To Net: NetName=A1 Pin=电磁运放模块1-10
Added Pin To Net: NetName=A2 Pin=电磁运放模块1-11
Added Pin To Net: NetName=A3 Pin=电磁运放模块1-12
Added Pin To Net: NetName=NetP14_6 Pin=电磁运放模块2-1
Added Pin To Net: NetName=GND Pin=电磁运放模块2-2
Added Pin To Net: NetName=NetP14_4 Pin=电磁运放模块2-3
Added Pin To Net: NetName=NetP14_3 Pin=电磁运放模块2-4
Added Pin To Net: NetName=GND Pin=电磁运放模块2-5
Added Pin To Net: NetName=NetP14_1 Pin=电磁运放模块2-6
Added Pin To Net: NetName=A4 Pin=电磁运放模块2-7
Added Pin To Net: NetName=VCCOP Pin=电磁运放模块2-8
Added Pin To Net: NetName=GND Pin=电磁运放模块2-9
Added Pin To Net: NetName=A5 Pin=电磁运放模块2-10
Added Pin To Net: NetName=A6 Pin=电磁运放模块2-11
Added Pin To Net: NetName=A7 Pin=电磁运放模块2-12
Added Member To Class: ClassName=Sheet1 Member=Component B1 BEEP
Added Member To Class: ClassName=Sheet1 Member=Component C1 220uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C2 4.7uF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C3 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C4 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C5 47uF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C6 220uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C7 4.7uF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C9 100uF 25V
Added Member To Class: ClassName=Sheet1 Member=Component C10 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C11 220uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C12 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C13 10uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C14 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C15 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C16 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C17 10uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C18 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C19 10uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C20 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C21、 10uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C22 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C23 10uF 16V
Added Member To Class: ClassName=Sheet1 Member=Component C24 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component C25 100nF ±10% 50V
Added Member To Class: ClassName=Sheet1 Member=Component D1 BZT52C16
Added Member To Class: ClassName=Sheet1 Member=Component D2 SS54
Added Member To Class: ClassName=Sheet1 Member=Component DCIN T型插头
Added Member To Class: ClassName=Sheet1 Member=Component DCOUT1 KF/WJ/DG 30x connecter
Added Member To Class: ClassName=Sheet1 Member=Component DCOUT2 KF/WJ/DG 30x connecter
Added Member To Class: ClassName=Sheet1 Member=Component L1 4.7uH 5A
Added Member To Class: ClassName=Sheet1 Member=Component LED3v3 翠绿贴片LED
Added Member To Class: ClassName=Sheet1 Member=Component LED5V 翠绿贴片LED
Added Member To Class: ClassName=Sheet1 Member=Component LEDCAM 翠绿贴片LED
Added Member To Class: ClassName=Sheet1 Member=Component LEDOP 翠绿贴片LED
Added Member To Class: ClassName=Sheet1 Member=Component LEDSteer 翠绿贴片LED
Added Member To Class: ClassName=Sheet1 Member=Component ON/OFF SW-SPDT
Added Member To Class: ClassName=Sheet1 Member=Component P1 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P2 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P3 Header 8X2
Added Member To Class: ClassName=Sheet1 Member=Component P4 Header 8
Added Member To Class: ClassName=Sheet1 Member=Component P5 Header 8X2
Added Member To Class: ClassName=Sheet1 Member=Component P6 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P7 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P8 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P9 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P10 Header 8X2
Added Member To Class: ClassName=Sheet1 Member=Component P11 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P12 Header 3X2
Added Member To Class: ClassName=Sheet1 Member=Component P13 Header 6
Added Member To Class: ClassName=Sheet1 Member=Component P14 Header 6
